huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,type
41.65,3.62,46.01,3.03,38.37,2.85,48.11,2.55,35.49,2.22,R
42.46,3.49,47.34,3.27,36.03,2.94,49.17,2.68,34.38,2.25,R
145,10.37,188,7.92,77.09,7.75,125.48,7.9,51.99,9.64,R
142,9.6,82,7.31,77.96,7.03,124.98,7.05,51.82,8.26,R
145,10.31,188,7.85,78.86,7.72,126.54,7.13,53.64,8.88,R
57.41,3.82,70.39,3.08,39.7,3.37,66.58,3.33,46.81,2.78,R
50.78,3.15,62.89,2.69,36.32,2.84,62.53,2.75,44.08,2.61,R
119.12,7.57,137.37,6.06,75.53,6.35,115.02,6.22,60.99,7.91,R
117.43,7.13,136.26,5.51,75.54,5.85,115.3,5.45,59.45,8.25,R
116.85,7.43,134.8,6.19,73.51,6.1,112.66,5.94,61.25,6.9,R
119.58,8.04,138.39,6.25,76.36,6.5,115.9,6.07,59.9,6.92,R
126.88,8.01,148.47,6.59,81.42,6.71,124.05,6.58,64.57,7.97,R
47.16,2.82,55.41,2.37,34.58,2.47,53.22,2.29,33.77,2.51,R
44.91,2.54,48.45,2.14,34.87,2.48,50.87,2.27,29.8,2.7,R
61.6,3.42,66.26,2.59,37.04,2.84,63.03,2.87,44.51,2.43,R
94.03,5.88,104.09,4.32,56.76,4.98,96.6,4.87,68.65,4.4,R
90.13,5.92,104.28,4.4,54.55,4.65,94.99,4.42,67.55,4.14,R
100.29,6.33,112.19,4.69,59.71,4.94,102.54,5.33,71.03,4.95,R
96.46,5.71,111.85,4.2,59.82,4.65,99.16,4.56,73.95,4.29,R
93.37,5.33,102.65,3.9,58.55,4.62,101.24,4.57,71.3,4.38,R
99.69,6.09,111,4.26,60.84,4.75,104.72,4.92,71.23,4.21,R
34.84,2.44,40.68,2.04,38.43,2.54,42.48,2.45,20.07,3.15,R
33.12,2.4,39.85,1.8,27.46,2.19,38.99,2.15,19.1,2.89,R
35.63,2.4,42.67,2.02,28.51,2.41,42.64,2.46,21.05,3.12,R
29.26,2.66,27.63,2.23,27.87,2.03,38.9,1.81,25.22,1.62,P
30.6,2.45,25.9,1.87,32.36,2.1,50.25,1.88,33.58,1.88,P
30.25,2.29,25.14,1.87,31.61,2.18,50.98,2,33.5,1.93,P
42.52,2.99,36.73,2.91,52.24,3.81,81.57,3.71,61.27,2.71,P
45.6,3.35,38.73,3.52,54.45,4.1,83.59,3.72,63.91,2.67,P
43.97,3.54,38.38,3.14,52.49,4.25,83.15,4.12,61.08,3.04,P
46.38,3.41,39.8,3.48,54.67,4.08,85.88,4.04,63.75,3.09,P
45.57,4.64,57.13,2.93,28.32,2.26,36.95,1.96,19.75,2.16,P
33.81,2.8,42.82,2.22,18.88,1.45,26.28,1.31,14.45,1.29,P
31.72,2.64,40,1.99,20.36,1.59,32.21,1.62,17.72,1.52,P
9.85,2.88,14.73,1.73,16.27,1.22,20.89,1.25,7.77,1.23,P
44.47,4.24,55.77,3.43,38.57,3.06,52.8,2.82,18.57,3.6,P
18.46,1.79,21.12,1.47,18.83,1.21,26.33,1.05,11.41,1.56,P
18.55,2.12,21.08,1.41,18.19,1.3,25.97,1.17,11.26,1.57,P
27.57,2.67,31.6,2.12,18.92,1.52,30.42,1.58,12.46,1.46,P
27.07,2.66,31.95,1.87,18.8,1.51,26.38,1.33,12.52,1.16,P
26.92,2.73,31.54,2.01,19.1,1.59,26.68,1.35,13.21,1.23,P
49.12,3.59,60.95,2.99,26.35,2,37.29,1.81,10.39,2.03,P
48.8,3.78,59.47,3.17,26.14,2.24,36.01,1.63,11.65,2,P
47.17,3.96,56.57,2.87,33.6,2.68,50.66,2.49,32.03,2.06,P
37.86,3.24,46.72,2.63,27.52,2.26,42.49,1.89,26.88,1.54,P
39.98,3.34,47.5,2.64,28.57,2.53,42.96,2.2,27.66,1.67,P
44.18,3.88,50.72,3.49,39.58,3.9,50.89,3.61,35.14,2.82,P
41.36,3.52,49.34,2.83,30.97,2.46,44.31,2.43,29.97,2.05,P
41.66,3.56,48.82,2.8,31.94,2.52,46.19,2.31,30.73,1.95,P
31.28,2.83,36.88,2.2,22.3,2.1,32.6,1.68,20.47,1.54,P
34.07,3.26,41.34,2.62,24.25,2.3,36.35,2.13,24.69,2.12,P
33.79,3.04,42.13,2.56,23.09,2.21,34.74,2.07,22.12,1.78,P
34.15,2.98,40.67,2.45,24.72,1.98,37.35,1.93,23.49,1.67,P
36.88,3.18,46.28,2.77,26.08,2.19,39.44,2.03,25.6,1.98,P
28.55,2.65,33.74,2.38,19.56,1.98,29.21,1.64,18.75,1.53,P
30.51,2.69,35.33,2.29,21.9,2.04,32.26,1.65,22.52,1.43,P
29.81,2.59,35.05,2.28,21.48,2.11,31.89,1.84,21.67,1.52,P
27.72,2.67,32,2.21,22.68,2.13,32.5,1.76,19.65,1.64,P
29.14,2.75,32.91,2.16,23.13,2.11,33.89,1.8,20.86,1.7,P
27.85,2.65,32.62,2.05,22.84,2.14,33.62,1.91,20.82,1.8,P
20.06,1.73,23.15,1.49,16.63,1.57,24.71,1.29,15.19,1.24,P
41.6,3.74,56.5,3.02,37,2.99,62.9,2.82,38.21,2.51,P
29.61,2.41,33.93,2.02,30.79,2.19,51.64,2.01,37.33,1.78,SO
30.28,2.89,35.37,2.15,31.09,2.51,53.36,2.31,39.52,1.69,SO
28.1,2.44,32.5,2.19,29.68,2.33,50.47,2.21,37.98,1.79,SO
28.66,2.48,33.24,2.02,29.33,2.26,50.64,2.05,35.99,1.85,SO
36.36,3.31,40.51,2.56,37.52,2.85,53.96,2.63,42.71,2.41,SO
37.05,3.48,41.41,2.91,37.37,3.14,61.65,2.89,44.72,2.24,SO
41.19,3.78,43.24,2.91,39.61,3.15,64.68,2.99,46.74,2.54,SO
37.71,3.55,42.47,2.89,38.12,3.13,62.45,3.06,46.41,2.42,SO
38.66,3.83,43.71,3.02,40.05,3.51,64.97,2.95,47.69,2.57,SO
21.07,2,25.36,1.7,17.66,1.72,26.28,1.35,19.43,1.36,SO
21.46,1.97,25.44,1.73,17.77,1.71,27.01,1.56,19.06,1.26,SO
22.13,2.1,26.53,1.78,17.83,1.63,26.12,1.52,18.74,1.2,SO
21.82,2,26.73,1.77,17.53,1.59,25.82,1.39,18.79,1.37,SO
16.5,1.46,19.44,1.42,15.58,1.21,26.21,1.17,18.45,1.14,SO
15.97,1.47,19.91,1.32,15.11,1.24,25.99,1.14,18.36,1.4,SO
17.13,1.49,20.38,1.33,15.24,1.16,27.96,1.2,20.1,1.24,SO
15.46,1.46,19.12,1.36,14.75,1.18,26.25,1.22,17.9,1.12,SO
21.68,1.93,24.84,1.86,20.85,1.78,35.22,1.57,24.11,1.51,SO
22.14,1.91,25.71,1.74,20.6,1.67,35.44,1.42,23.86,1.92,SO
22.26,1.77,24.58,1.67,21.28,1.68,36.06,1.43,24.14,1.41,SO
25.4,1.84,24.18,1.73,24.02,1.94,38.97,1.54,27.26,1.48,SO
24.43,2.08,25.98,1.84,23.77,1.78,39.14,1.9,27.92,1.48,SO
20.36,1.91,21.92,1.54,21.56,1.81,36.81,1.56,26.31,1.27,SO
21.31,2.24,26.66,1.87,18.99,1.64,30.64,1.43,20.76,1.18,SO
20.97,2.16,26.27,1.85,18.89,1.36,31.01,1.23,20.28,1.11,SO
21.04,2.12,26.27,1.81,18.54,1.39,29.5,1.39,19.9,1.11,SO
25.36,2.36,28.04,1.68,22.76,1.77,35.58,1.42,24.61,1.63,SO
23.88,2.4,29.16,1.74,22.84,2.02,37.24,1.54,26.15,1.32,SO
24.56,2.25,28.53,1.94,23.13,1.86,38.27,1.62,26.68,1.95,SO
24.03,2.37,29.26,1.94,22.58,1.88,37.13,1.73,25.39,1.43,SO
18.12,1.61,22.32,1.38,16.42,1.13,26.64,1.1,17.74,0.98,SO
18.69,1.75,22.76,1.57,16.75,1.3,26.6,1.05,18,0.92,SO
18.94,1.83,22.95,1.69,17.25,1.25,28.59,1.16,18.86,0.97,SO
27.9,2.51,31.56,2.07,24.08,2.28,45.9,2.09,34.98,1.6,SO
26.49,2.38,30.38,2.04,22.99,2.14,42.19,1.87,33.71,1.46,SO
26.75,2.39,30.48,1.97,23.11,2.08,44.2,1.79,34.47,1.58,SO
27.06,2.5,30.28,2.1,23.96,2.24,46.02,1.76,33.91,1.76,SO
19,1.68,24,1.45,14.86,1.23,27.19,1.01,20.05,0.86,SO
19.34,1.69,24.89,1.51,15.29,1.28,28.63,1.22,21.95,0.94,SO
20.19,1.85,26.41,1.53,15.71,1.29,29.66,1.15,21.9,1.05,SO
21.85,2.06,25.9,1.75,20.86,1.72,34.26,1.43,23.25,1.18,SO
20.8,1.95,23.44,1.6,20.67,1.45,35.52,1.45,25.41,1.36,SO
20.62,1.87,23.45,1.75,20.96,1.68,34.64,1.76,24.8,1.46,SO
22.35,2.01,25.13,1.85,21.98,1.69,36.5,1.71,26.42,1.52,SO
26.23,2.3,30.53,2.15,24.85,1.96,41.33,1.71,29.01,1.77,SO
26.32,2.34,30.17,2.18,24.74,1.91,41.6,1.77,28.98,1.88,SO
25.57,2.18,29.05,2.15,25.24,1.91,40.9,1.83,28.05,2,SO
24.67,1.9,27.06,2.1,24.7,1.86,39.72,1.99,27.22,1.7,SO
30.26,2.54,34.8,2.09,29.66,2.2,48.67,2.16,34.77,2,SO
29.38,2.44,29.84,2.44,28.95,2.13,47.18,2.19,31.46,1.88,SO
30.1,2.49,34.69,2.26,28.74,2.08,49.08,2.1,36.09,1.88,SO
31.14,2.87,37.34,2.81,28.44,2.31,48.65,2.3,33.98,1.97,SO
32.08,2.7,38.3,2.63,28.76,2.21,49.85,1.99,35.29,1.73,SO
32.31,3,39.03,2.73,29.51,2.39,51.04,2.4,36.11,2.03,SO
23.99,2.19,28.88,1.96,23.16,1.75,38.98,1.83,27.21,1.43,SO
22.25,1.92,25.93,1.61,22.15,1.66,38.48,1.46,26.74,1.23,SO
21.88,2.02,25.45,1.68,21.64,1.73,37.26,1.38,26,1.24,SO
26.71,2.32,31.71,1.9,25.11,2.23,47.91,2.08,48.35,1.95,SO
29.18,2.39,34.32,2.04,27.66,2.09,49.66,1.96,36.26,1.7,SO
25.78,2.21,28.16,1.84,23.29,1.75,42.34,1.58,30.39,1.34,SO
26.09,2.17,28.99,1.77,27.74,2.15,46.64,2.04,32.85,1.81,SO
28.14,2.35,30.63,1.86,28.49,2.18,49.07,2.07,34.64,1.78,SO
18.68,1.62,24.78,1.4,16.16,1.12,29.67,1.06,22.09,0.78,SO
18.3,1.69,22.97,1.48,18.16,1.5,36.39,1.24,27.46,0.98,SO
20.64,1.97,26.1,1.61,20.61,1.56,40.19,1.47,30.63,1.22,SO
19.4,1.88,25.08,1.57,18.89,1.52,36.89,1.31,29.86,1.04,SO
17.32,1.83,24.34,1.36,18.36,1.2,37.26,1.3,25.03,1.05,SO
21.38,1.87,27.42,1.7,20.67,1.54,37.88,1.33,28.55,1.08,SO
20.08,2.07,25.78,1.81,20.43,1.62,38.3,1.35,30.25,1.09,SO
20.1,1.89,25.57,1.8,20.42,1.65,37.05,1.42,28.62,0.96,SO
19.96,1.88,25.19,1.66,19.53,1.48,36.65,1.4,27.65,1.11,SO
30.21,2.97,37.31,2.58,27.71,2,47.98,1.98,33.79,1.61,SO
29.52,2.92,37.47,2.37,28.22,2.25,47.49,1.98,34.6,1.63,SO
16.93,1.52,19.49,1.12,15.81,1.19,28.89,1.08,21.41,0.92,SO
13.31,1.17,16.47,1.06,12.32,0.93,22.47,0.95,15.97,0.75,SO
15.24,1.4,18.37,1.13,13.75,1.05,25.57,0.91,19.1,0.86,SO
13.48,1.27,16,1,12.67,1.1,23.12,0.88,16.34,0.89,SO
13.38,1.14,16.51,1.23,12.48,1.12,24.91,0.92,17.55,0.88,SO
13.67,1.27,17.52,1.08,12.77,1.16,25.47,0.98,18.15,1.28,SO
14.51,1.49,18.79,1.12,14.07,1.01,25.85,1,18.38,0.8,SO
14.62,1.39,19.23,1.12,14.13,0.97,26.11,1.03,18.23,0.73,SO
14.88,1.49,19.55,1.15,13.69,0.98,25.54,0.91,18.15,0.69,SO
14.61,1.37,20.3,1.23,14.28,1.04,25.09,0.88,17.39,0.79,SO
13.52,1.28,17.88,1.07,15.1,1.05,25.14,1.23,17.81,0.69,SO
12.69,1.69,17.44,1.16,11.83,1.03,23.8,0.87,16.97,0.66,SO
22.26,1.94,27.69,1.71,17.27,1.28,27.29,1.26,17.49,1.02,SO
24.84,2.32,28.88,2.01,25.65,2.01,40.2,1.83,26.66,1.65,SO
23.52,2.16,29.33,1.72,20.59,1.49,32.45,1.13,19.33,1,SO
22.55,2.27,28.3,1.76,19.89,1.52,30.95,1.39,18.68,1.06,SO
23.94,2.45,27.86,1.95,24.02,1.87,35.62,1.86,22.99,1.43,SO
48.2,4.08,61.94,3.75,40.11,3.1,62.09,3.21,37.26,2.46,SO
24.28,2.16,30.29,1.91,20.32,1.62,29.29,1.47,24.48,1.39,SO
25.24,2.42,32.13,2.1,21.14,1.69,29.58,1.57,25.49,1.42,SO
23.9,2.32,28.83,1.67,21.18,1.85,33.11,1.61,23.02,1.33,SO
23.82,2.19,29.6,1.88,20.35,1.56,28.54,1.54,23.38,1.26,SO
19.63,1.76,23.58,1.33,18.85,1.54,33.1,1.34,24.09,1.14,SO
20.43,1.59,22.68,1.39,20,1.54,35.63,1.33,25.57,1.57,SO
22.19,1.86,24.93,1.52,24.14,1.78,40.17,1.73,29.61,1.43,SO
23.27,2,24.8,1.83,26.04,1.79,41.91,1.67,29.76,1.39,SO
18.97,1.58,21.26,1.4,21.5,1.55,36.52,1.52,25.04,1.47,SO
15.99,1.35,18.32,1.13,15.84,1.19,30.05,1.23,22.94,1.08,SO
15.62,1.28,18.52,1.06,15.75,1.17,28.63,1.03,21.39,0.88,SO
16.8,1.58,19.77,1.39,16.86,1.29,29.75,1.18,21.77,1.04,SO
15.55,1.48,18.93,1.3,17.58,1.23,31.65,1.14,24.12,0.98,SO
23.32,2.06,27.9,1.84,22.49,1.66,34.77,1.42,23.05,1.18,SO
20.41,1.82,22.66,1.71,18.14,1.52,29.3,1.21,20.29,1.15,SO
21.53,1.91,25.3,1.67,20.8,1.65,34.08,1.33,23.86,1.27,SO
22.84,2.21,27.7,2.06,22.13,1.72,34.6,1.69,25.08,1.39,SO
20.95,1.89,24.12,1.66,21.24,1.84,36.71,1.53,25.99,1.23,SO
17.3,1.68,20.43,1.33,15.51,1.15,25.96,0.88,17.41,0.81,SO
16.86,1.58,20.72,1.36,14.92,1.13,24.56,0.98,16.76,0.81,SO
15.7,1.42,18.58,1.2,15.22,1.08,25.39,0.92,16.88,0.74,SO
19.54,1.86,23.35,1.47,18.34,1.46,29.05,1.35,19.68,1.08,SO
23.27,2.15,27.62,2.16,21.86,1.64,35.55,1.51,23.23,1.32,SO
23.04,2.15,28.29,1.94,21.46,1.67,33.41,1.42,22.48,1.27,SO
21.21,1.88,23.35,1.62,21.97,1.55,35.02,1.4,22.35,1.24,SO
21.92,1.8,25.73,1.49,19.98,1.35,30.47,1.36,20.11,1.25,SO
12.95,1.16,14.09,1.03,13.03,1.03,22.13,0.96,15.19,1.02,SO
13.63,1.16,15.22,1.06,13.75,0.99,23.13,0.96,15.62,1.01,SO
17.96,1.63,19.25,1.33,18.36,1.54,31.25,1.33,21.99,1.15,SO
19.21,1.64,20.76,1.49,19.24,1.45,33.21,1.28,23.6,1.15,SO
18.79,1.63,19.83,1.53,20.96,1.43,34.45,1.41,22.86,1.21,SO
20.38,1.78,22.53,1.5,21.35,1.48,36.09,1.53,25.98,1.24,SO
17.89,1.44,19.26,1.1,17.62,1.34,29.81,1.24,21.69,1.05,SO
